,mouse,sex,study,conc,pre.ret,pre.mn.ret,pre.prop.mn.ret,post.ret,post.mn.ret,post.prop.mn.ret,bm.ret,bm.mn.ret,prop.bm.mn.ret
JEF_552,JEF_552,male,2,100,19973,27,0.00135,19693,307,0.01535,19673,327,0.01635
JEF_555,JEF_555,male,2,100,19932,68,0.0034,NA,NA,NA,NA,NA,NA
JEF_559,JEF_559,male,2,100,19979,21,0.00105,19870,130,0.0065,NA,NA,NA
JEF_562,JEF_562,male,2,100,19946,54,0.0027,19067,933,0.04665,19378,622,0.0311
JEF_563,JEF_563,male,2,100,19961,39,0.00195,19880,514,0.0252034912229087,19527,473,0.02365
JEF_570,JEF_570,male,2,100,19913,87,0.00435,19463,537,0.02685,19761,239,0.01195
JEF_571,JEF_571,male,2,100,19961,39,0.00195,19728,272,0.0136,19749,251,0.01255
JEF_572,JEF_572,male,2,100,19955,45,0.00225,19555,445,0.02225,19778,222,0.0111
JEF_578,JEF_578,male,2,100,19953,47,0.00235,19922,78,0.0039,19865,135,0.00675
JEF_587,JEF_587,male,2,100,19972,28,0.0014,19734,266,0.0133,19778,222,0.0111
JEF_596,JEF_596,male,2,100,19959,41,0.00205,19893,107,0.00535,19861,139,0.00695
JEF_606,JEF_606,male,2,100,19955,45,0.00225,19918,82,0.0041,19903,97,0.00485
JEF_610,JEF_610,male,2,100,19957,43,0.00215,19475,525,0.02625,19479,521,0.02605
JEF_614,JEF_614,male,2,100,19936,64,0.0032,18749,1251,0.06255,19626,374,0.0187
JEF_616,JEF_616,male,2,100,19966,34,0.0017,19852,148,0.0074,19894,106,0.0053
JEF_618,JEF_618,male,2,100,19952,48,0.0024,19907,93,0.00465,19913,87,0.00435
JEF_619,JEF_619,male,2,100,19952,48,0.0024,19894,106,0.0053,19878,122,0.0061
JEF_623,JEF_623,male,2,100,19924,76,0.0038,19086,914,0.0457,18978,1022,0.0511
JEF_629,JEF_629,male,2,100,19931,69,0.00345,19242,758,0.0379,19333,667,0.03335
JEF_632,JEF_632,male,2,100,19953,47,0.00235,19584,416,0.0208,19707,293,0.01465
JEF_634,JEF_634,male,2,100,19965,35,0.00175,18822,1178,0.0589,19145,855,0.04275
JEF_635,JEF_635,male,2,100,19938,62,0.0031,19335,665,0.03325,18831,1169,0.05845
JEF_638,JEF_638,male,2,100,19964,36,0.0018,19919,81,0.00405,19908,92,0.0046
JEF_643,JEF_643,male,2,100,19951,49,0.00245,19885,115,0.00575,19933,67,0.00335
JEF_646,JEF_646,male,2,100,19948,52,0.0026,19643,357,0.01785,19618,382,0.0191
JEF_653,JEF_653,male,2,100,19960,40,0.002,19891,109,0.00545,19876,124,0.0062
